Region,County,FIPS,State,Female,Male,Unknown,AM Indian/AK Native,Asian,Black,Declined to Indicate,Unable to Determine,White,18-64,65 and older
4,ANDERSON,48001,Texas,15348,10141,99,70,24,5731,8,772,18973,7727,17859
9,ANDREWS,48003,Texas,7808,5703,60,25,28,1190,21,618,11687,4465,9105
5,ANGELINA,48005,Texas,11919,8426,84,49,35,6396,8,647,13291,6841,13586
11,ARANSAS,48007,Texas,23546,18450,214,46,85,794,48,1368,39858,13173,29030
2,ARCHER,48009,Texas,15084,10385,103,75,54,2891,39,1077,21424,9246,16324
1,ARMSTRONG,48011,Texas,16310,11382,148,95,85,4773,44,1153,21681,10570,17266
8,ATASCOSA,48013,Texas,31716,21719,283,93,349,4917,83,2782,45446,15857,37853
6,AUSTIN,48015,Texas,53303,35618,479,191,1320,31290,98,4492,51898,29982,59405
7,BASTROP,48021,Texas,27611,19006,321,143,508,8603,61,2318,35258,13289,33645
10,BREWSTER,48043,Texas,10054,7540,91,48,128,644,18,584,16247,4948,12733
3,COLLIN,48085,Texas,53300,34284,556,289,935,20670,99,4347,61714,23496,64638
